ticket,symbol,type,volume,price_open,sl,tp,price_current,profit,swap,comment,time
346818533,AUDNZD.p,SELL,0.01,1.2056499999999999,0.0,0.0,1.24475,-22.38,-1.15,E25/T4,2026-08-26 07:00:00
348228205,EURSGD.p,BUY,0.01,1.48198,0.0,1.4824,1.46482,-13.45,-0.38,E25/T4,2026-08-27 01:15:00
353388956,AUDNZD.p,SELL,0.01,1.21009,0.0,0.0,1.24475,-19.84,-0.95,E25/T4,2026-08-28 14:45:00
353609192,EURNZD.p,SELL,0.01,1.9567,0.0,0.0,2.00601,-28.22,0.03,E25/T4,2026-08-28 16:45:00
353954461,NZDCAD.p,BUY,0.01,0.82315,0.0,0.0,0.80093,-15.88,-0.02,E25/T4,2026-08-28 17:45:00
354477861,EURSGD.p,BUY,0.01,1.47678,0.0,0.0,1.46482,-9.37,-0.37,E25/T4,2026-08-28 20:45:00
357617178,NZDSGD.p,BUY,0.01,0.75189,0.0,0.75232,0.73023,-16.98,-0.01,E25/T4,2026-09-01 08:45:00
359447014,EURNZD.p,SELL,0.01,1.97592,0.0,0.0,2.00601,-17.22,0.04,E25/T4,2026-09-02 05:15:00
359447015,AUDNZD.p,SELL,0.02,1.21871,0.0,0.0,1.24475,-29.81,-1.58,E25/T4,2026-09-02 05:15:00
359447016,NZDSGD.p,BUY,0.01,0.74641,0.0,0.0,0.73023,-12.68,-0.01,E25/T4,2026-09-02 05:15:00
359447115,NZDCAD.p,BUY,0.01,0.81501,0.0,0.0,0.80093,-10.06,-0.01,E25/T4,2026-09-02 05:15:00
359601591,EURJPY.p,BUY,0.01,185.445,0.0,0.0,180.439,-31.85,0.16,E25/T4,2026-09-02 07:06:01
360390709,EURJPY.p,BUY,0.01,184.212,0.0,0.0,180.439,-24.01,0.16,E25/T4,2026-09-02 16:30:00
361229304,EURJPY.p,BUY,0.02,183.631,0.0,0.0,180.439,-40.62,0.26,E25/T4,2026-09-03 04:30:00
361660439,EURJPY.p,BUY,0.04,181.959,0.0,0.0,180.439,-38.69,0.46,E25/T4,2026-09-03 10:15:00
363420502,AUDNZD.p,SELL,0.04,1.22498,0.0,0.0,1.24475,-45.26,-2.35,E25/T4,2026-09-04 12:45:00
363692662,EURSGD.p,BUY,0.02,1.47136,0.0,0.0,1.46482,-10.25,-0.55,E25/T4,2026-09-04 15:45:00
364964442,NZDJPY.p,BUY,0.01,91.66,0.0,91.705,89.946,-10.91,0.07,E25/T4,2026-09-07 05:57:30
365310249,NZDJPY.p,BUY,0.01,91.058,0.0,0.0,89.946,-7.08,0.07,E25/T4,2026-09-07 11:15:00
366147585,NZDSGD.p,BUY,0.02,0.74077,0.0,0.0,0.73023,-16.52,-0.01,E25/T4,2026-09-08 07:00:00
366147590,EURNZD.p,SELL,0.02,1.98485,0.0,0.0,2.00601,-24.22,0.02,E25/T4,2026-09-08 07:00:00
366376274,AUDNZD.p,SELL,0.08,1.2335,0.0,0.0,1.24475,-51.51,-4.03,E25/T4,2026-09-08 10:30:00
366403344,NZDCAD.p,BUY,0.02,0.80613,0.0,0.0,0.80093,-7.43,0.0,E25/T4,2026-09-08 10:45:00
367516618,EURJPY.p,BUY,0.08,178.323,0.0,0.0,180.439,107.72,0.71,E25/T4,2026-09-09 03:15:00
368179696,EURNZD.p,SELL,0.04,1.9909400000000002,0.0,0.0,2.00601,-34.5,0.07,E25/T4,2026-09-09 13:00:00
369679560,USDCAD.p,SELL,0.01,1.38032,0.0,1.37989,1.39957,-13.75,-0.42,E25/T4,2026-09-10 09:00:00
371393557,NZDSGD.p,BUY,0.04,0.73672,0.0,0.0,0.73023,-20.35,-0.01,E25/T4,2026-09-11 00:30:00
371736587,USDCAD.p,SELL,0.01,1.38429,0.0,0.0,1.39957,-10.92,-0.36,E25/T4,2026-09-11 05:30:00
372448610,NZDJPY.p,BUY,0.02,89.609,0.0,0.0,89.946,4.29,0.07,E25/T4,2026-09-11 14:00:00
